"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"42039",0,446,0,252.192209135576,3.90248489550274,0.518372240637563,1.16016644333169,93.1248089898206,31.7054289182672,4.1027794259,2.22159531701813
"42047",0,166,0,252.817767729494,3.457791668052,0.468796754995511,0.768028726269242,96.0667619775909,13.9744035529113,3.990022733,1.65575024104798
"42053",0,5,0,325.730180806676,4.86787204450626,0.0973574408901252,1.50208623087622,53.4075104311544,6.46181406024643,3.3179199439,2.11404728789986
"42057",0,8,0,302.304719845432,4.55423682031466,0.441622964394148,0.82114269942037,95.5492685619652,12.7857798316312,4.0125647038,2.3323212807066
"42059",0,409,0,250.520776230676,2.9602017322662,0.298761100756496,0.759236925775683,89.2446003727661,24.4028572002089,4.4943884765,2.42023900888061
"42061",0,429,0,270.417543471038,5.71491859563628,0.620223723557426,1.50847269908074,86.2509690995681,19.6253293987903,4.2194128389,1.99800642374571
"42063",0,1132,0,224.157323325006,4.380616364562,0.928217089139623,1.82565146869043,92.4250855404141,39.1325836830487,4.5667654296,1.82801936942803
"42065",0,250,0,221.574477851733,5.64608675694285,0.259352765664448,0.596740876750057,95.8365848060592,25.6507377143667,4.2213234578,2.7197613036493
"42067",0,238,0,205.499452488137,7.42182747292858,0.304173257087237,2.35632883156913,92.6511741087724,24.2217771788059,3.8472741903,1.37486312203431
"42075",0,1788,0,281.390214372196,3.76041592479168,1.49134677017306,4.05241791895164,80.2008403959832,149.716560837124,3.7143826081,2.10455095790898
"42081",0,2639,0,270.475555633519,4.80642728086024,0.762187099829845,1.93485010612732,87.4875015348992,35.4405668097684,4.2506314781,2.44794498921185
"42083",0,486,0,212.232758830843,3.70541917554423,0.419297433022111,1.44560103361693,91.1094317544672,16.1166343154392,4.3326448313,3.23249067550767
"42087",0,403,0,282.617640052838,6.12832672859958,0.359470755105134,0.961475995582408,94.402217458152,43.0422822339522,3.9266839496,2.69386517681197
"42093",0,227,0,279.238640114424,5.17108592804489,3.55374628672021,3.75728903069645,88.0514908130707,53.1407541732477,5.0928330712,1.93090549015293
"42097",0,1698,0,271.554464344433,6.01749347830853,0.366091588662122,1.3339325251551,90.0990858671109,73.8764676930627,4.4749195345,2.53523905561523
